url,Locality,Type of property,Subtype of property,Price,Type of Transaction,Nº rooms,Living area,Equipped kitchen,Furnished,Fireplace,Terrace,Area Terrace,Land Surface,Nº facades,Swimming Pool,State Building,Garden,Area Garden
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10676530,Knokke-Heist,APARTMENT,APARTMENT,594000.0,FOR_SALE,3.0,,Yes,No,No,Yes,6.0,,2.0,No,AS_NEW,,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10479538,Knokke,APARTMENT,APARTMENT,647500.0,FOR_SALE,2.0,,Yes,No,No,Yes,,,2.0,No,JUST_RENOVATED,,,
https://www.immoweb.be/en/classified/apartment/for-sale/arlon/6700/10673143,Arlon,APARTMENT,APARTMENT,230000.0,FOR_SALE,1.0,,Yes,No,No,Yes,,,,No,GOOD,,,
https://www.immoweb.be/en/classified/apartment/for-sale/aubange/6790/10673142,Arlon,APARTMENT,APARTMENT,260000.0,FOR_SALE,2.0,,Yes,No,No,,,,4.0,No,GOOD,Yes,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10673608,Gent,APARTMENT,APARTMENT,299000.0,FOR_SALE,1.0,,Yes,No,No,Yes,9.0,,2.0,No,GOOD,,,
https://www.immoweb.be/en/classified/apartment/for-sale/gentbrugge/9050/10673609,Gent,APARTMENT,APARTMENT,299000.0,FOR_SALE,1.0,,Yes,No,No,Yes,9.0,,2.0,No,GOOD,,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10631448,Gent,APARTMENT,APARTMENT,405000.0,FOR_SALE,3.0,,Yes,No,No,,,,2.0,No,JUST_RENOVATED,,,
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10673204,Uccle,APARTMENT,APARTMENT,750000.0,FOR_SALE,2.0,,Yes,No,No,Yes,40.0,,4.0,No,AS_NEW,,,
https://www.immoweb.be/en/classified/penthouse/for-sale/ixelles/1050/10672667,Bruxelles ,APARTMENT,PENTHOUSE,200000.0,FOR_SALE,1.0,,Yes,No,No,Yes,8.0,,2.0,No,AS_NEW,,,
https://www.immoweb.be/en/classified/apartment/for-sale/leuven/3000/10672892,Kessel-Lo,APARTMENT,APARTMENT,295000.0,FOR_SALE,2.0,,Yes,No,No,Yes,12.0,,2.0,No,GOOD,,,
https://www.immoweb.be/en/classified/duplex/for-sale/mechelen/2800/10672808,,APARTMENT,DUPLEX,339000.0,FOR_SALE,2.0,,Yes,No,No,Yes,5.0,,1.0,No,AS_NEW,Yes,6.0,
https://www.immoweb.be/en/classified/apartment/for-sale/watermael-boitsfort/1170/10672511,St Genesius Rode,APARTMENT,APARTMENT,345000.0,FOR_SALE,2.0,,Yes,No,No,Yes,17.0,,,No,JUST_RENOVATED,,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10672778,Gent,APARTMENT,APARTMENT,549000.0,FOR_SALE,3.0,,Yes,No,No,Yes,3.0,,4.0,No,TO_BE_DONE_UP,,,
https://www.immoweb.be/en/classified/apartment/for-sale/rocourt/4000/10672098,Ans,APARTMENT,APARTMENT,420000.0,FOR_SALE,3.0,,Yes,No,No,Yes,18.0,,,No,GOOD,,,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-pieters-woluwe/1150/10672317,Brussel,APARTMENT,APARTMENT,765000.0,FOR_SALE,4.0,,Yes,No,No,Yes,11.0,,2.0,No,GOOD,,,
https://www.immoweb.be/en/classified/apartment/for-sale/brussels%20city/1000/10672307,Brussel,APARTMENT,APARTMENT,985000.0,FOR_SALE,4.0,,Yes,No,No,,,,2.0,No,TO_BE_DONE_UP,,,
https://www.immoweb.be/en/classified/apartment/for-sale/borgerhout/2140/10670795,Borgerhout,APARTMENT,APARTMENT,175000.0,FOR_SALE,2.0,,Yes,No,No,Yes,20.0,,3.0,No,TO_BE_DONE_UP,,,
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/10668949,Anderlecht,APARTMENT,APARTMENT,239000.0,FOR_SALE,2.0,,Yes,No,No,,,,2.0,No,AS_NEW,,,
https://www.immoweb.be/en/classified/apartment/for-sale/huy/4500/10671060,Huy,APARTMENT,APARTMENT,250000.0,FOR_SALE,3.0,,Yes,No,No,Yes,,,,No,GOOD,,,
https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10668605,Blankenberge,APARTMENT,APARTMENT,289000.0,FOR_SALE,2.0,,Yes,No,No,Yes,,,,No,GOOD,,,
